"","artist","on_board"
"949","The Electric Prunes",2
"950","The Elgins",4
"951","The Emotions",1
"952","The Emperor's",1
"953","The Enchanters",1
"954","The Epic Splendor",1
"955","The Equals",1
"956","The Esquires",3
"957","The Everly Brothers",3
"958","The Exciters",3
"959","The Fantastic Four",1
"960","The Fantastic Johnny C",4
"961","The Fascinations",1
"962","The Fifth Estate",1
"963","The Fireballs",4
"964","The First Edition",2
"965","The Five Americans",6
"966","The Five Emprees",1
"967","The Five Stairsteps",6
"968","The Flaming Ember",1
"969","The Flamingos",1
"970","The Flirtations",1
"971","The Flying Machine",1
"972","The Formations",1
"973","The Fortunes",3
"974","The Forum",1
"975","The Foundations",5
"976","The Four Preps",1
"977","The Four Sonics",1
"978","The Four-Evers",1
"979","The Friends Of Distinction",3
"980","The Fun And Games",1
"981","The Gants",1
"982","The Gentrys",3
"983","The Gestures",1
"984","The Girlfriends",1
"985","The Glass House",1
"986","The Glories",1
"987","The Goodees",1
"988","The Grass Roots",11
"989","The Greenwood County Singers",1
"990","The Greenwoods",1
"991","The Guess Who",5
"992","The Gunter Kallmann Chorus",1
"993","The Happenings",9
"994","The Harden Trio",1
"995","The Hardtimes",1
"996","The Hesitations",4
"997","The Holidays",1
"998","The Hollies",14
"999","The Hollyridge Strings",1
"1000","The Hombres",1
"1001","The Hondells",3
"1002","The Honey Cone",2
"1003","The Honeycombs",2
"1004","The Hullaballoos",2
"1005","The Human Beinz",2
"1006","The Ides Of March",2
"1007","The Ikettes",2
"1008","The Illusion",2
"1009","The Impressions",25
"1010","The In Crowd",1
"1011","The Innocence",2
"1012","The Intrigues",2
"1013","The Intruders",8
"1014","The Irish Rovers",3
"1015","The Isley Brothers",8
"1016","The Iveys",1
"1017","The Ivy League",1
"1018","The James Boys",1
"1019","The Jazz Crusaders",1
"1020","The Jelly Beans",2
"1021","The Jewels",1
"1022","The Jimi Hendrix Experience",4
"1023","The Jive Five (featuring Eugene Pitt)",1
"1024","The Joe Cuba Sextet",2
"1025","The Joe Jeffrey Group",1
"1026","The Johnny Mann Singers",1
"1027","The Kids Next Door",1
"1028","The Kingpins",1
"1029","The Kingsmen",8
"1030","The Kingston Trio",1
"1031","The Kinks",11
"1032","The Knickerbockers",3
"1033","The Knight Bros.",1
"1034","The Larks",1
"1035","The Last Word",1
"1036","The Leaves",1
"1037","The Left Banke",3
"1038","The Lemon Pipers",2
"1039","The Lettermen",11
"1040","The Lewis & Clarke Expedition",1
"1041","The Love Generation",2
"1042","The Lovin' Spoonful",14
"1043","The Mad Lads",3
"1044","The Magic Mushrooms",1
"1045","The Magistrates",1
"1046","The Magnificent Men",2
"1047","The Mamas & The Papas",14
"1048","The Manhattans",4
"1049","The Mar-Keys",1
"1050","The Marketts",3
"1051","The Marvelettes",15
"1052","The Marvelows",1
"1053","The Maskman & The Agents",2
"1054","The Masqueraders",1
"1055","The Mauds",1
"1056","The McCoys",9
"1057","The Merry-Go-Round",2
"1058","The Meters",4
"1059","The Metros",1
"1060","The Mills Brothers",3
"1061","The Mindbenders",2
"1062","The Miracles",11
"1063","The Mirettes",1
"1064","The Mojo Men",3
"1065","The Moments",3
"1066","The Monarchs",1
"1067","The Monitors",1
"1068","The Monkees",17
"1069","The Montanas",1
"1070","The Moody Blues",6
"1071","The Murmaids",1
"1072","The Music Explosion",2
"1073","The Music Machine",2
"1074","The Music Makers",1
"1075","The Mustangs",1
"1076","The Nashville Teens",2
"1077","The Neon Philharmonic",1
"1078","The New Christy Minstrels",3
"1079","The New Colony Six",4
"1080","The New Establishment",1
"1081","The New Vaudeville Band",2
"1082","The Newbeats",7
"1083","The Nightcrawlers",1
"1084","The Nitty Gritty Dirt Band",1
"1085","The Novas",1
"1086","The O'Jays",7
"1087","The O'Kaysions",2
"1088","The Olympics",3
"1089","The Original Caste",1
"1090","The Originals",1
"1091","The Orlons",4
"1092","The Outsiders",4
"1093","The Ovations (featuring Louis Williams)",1
"1094","The Overlanders",1
"1095","The Packers",1
"1096","The Parade",1
"1097","The Paris Sisters",1
"1098","The Parliaments",2
"1099","The Peanut Butter Conspiracy",1
"1100","The Peels",1
"1101","The Peppermint Rainbow",1
"1102","The Peppermint Trolley Company",1
"1103","The Pete Klint Quintet",1
"1104","The Pixies Three",3
"1105","The Platters",5
"1106","The Poets",1
"1107","The Poppies",1
"1108","The Precisions",1
"1109","The Premiers",1
"1110","The Pyramids",1
"1111","The Radiants",1
"1112","The Raeletts",1
"1113","The Rag Dolls",2
"1114","The Raindrops",3
"1115","The Rainy Daze",1
"1116","The Ramblers",1
"1117","The Rascals",6
"1118","The Rationals",1
"1119","The Ray Charles Singers",5
"1120","The Ray Conniff Singers",1
"1121","The Razor's Edge",1
"1122","The Reflections",3
"1123","The Righteous Brothers",16
"1124","The Rip Chords",3
"1125","The Rivieras",4
"1126","The Rolling Stones",23
"1127","The Romeos",1
"1128","The Ron-Dels",1
"1129","The Ronettes",4
"1130","The Ronettes Featuring Veronica",3
"1131","The Rose Garden",1
"1132","The Royal Guardsmen",7
"1133","The Royalettes",2
"1134","The Rugbys",1
"1135","The San Remo Golden Strings",1
"1136","The Sandpebbles",3
"1137","The Sandpipers",3
"1138","The Sapphires",2
"1139","The Scaffold",1
"1140","The Searchers",13
"1141","The Secrets",1
"1142","The Seeds",4
"1143","The Seekers",4
"1144","The Serendipity Singers",2
"1145","The Shades Of Blue",1
"1146","The Shadows Of Knight",3
"1147","The Shangri-Las",11
"1148","The Sheep",1
"1149","The Shindogs",1
"1150","The Shirelles",6
"1151","The Shocking Blue",1
"1152","The Show Stoppers",1
"1153","The Showmen",1
"1154","The Sidekicks",1
"1155","The Silkie",1
"1156","The Simon Sisters",1
"1157","The Singing Nun (Soeur Sourire)",1
"1158","The Ska Kings",1
"1159","The Skyliners",1
"1160","The Smoke Ring",1
"1161","The Sopwith Camel",2
"1162","The Soul Children",1
"1163","The Soul Clan",1
"1164","The Soul Sisters",1
"1165","The Soulful Strings",1
"1166","The Spats Featuring Dick Johnson",1
"1167","The Spellbinders",2
"1168","The Spencer Davis Group",5
"1169","The Spinners",1
"1170","The Spokesmen",1
"1171","The Standells",4
"1172","The Staple Singers",2
"1173","The Statler Brothers",1
"1174","The Status Quo",2
"1175","The Steelers",1
"1176","The Steve Miller Band",1
"1177","The Strangeloves",4
"1178","The Sunglows",1
"1179","The Sunrays",3
"1180","The Sunshine Company",3
"1181","The Superbs",1
"1182","The Supremes",15
"1183","The Surfaris",1
"1184","The Swans",1
"1185","The Sweet Inspirations",5
"1186","The Swingin' Medallions",1
"1187","The Swinging Blue Jeans",3
"1188","The T-Bones",2
"1189","The T.S.U. Toronadoes",1
"1190","The Tams",6
"1191","The Temptations",22
"1192","The Third Rail",1
"1193","The Thirteenth Floor Elevators",1
"1194","The Three Degrees",2
"1195","The Tokens",5
"1196","The Toys",4
"1197","The Trade Winds",2
"1198","The Traits",1
"1199","The Trashmen",2
"1200","The Tremeloes",4
"1201","The Troggs",4
"1202","The Trolls",1
"1203","The Turtles",16
"1204","The Tymes",5
"1205","The Unifics",3
"1206","The Union Gap Featuring Gary Puckett",2
"1207","The Uniques",1
"1208","The Uniques Featuring Joe Stampley",1
"1209","The Unknowns",1
"1210","The Vacels",1
"1211","The Valentinos",1
"1212","The Van Dykes",1
"1213","The Vanilla Fudge",2
"1214","The Vejtables",1
"1215","The Velvelettes",2
"1216","The Ventures",6
"1217","The Vibrations",3
"1218","The Village Stompers",2
"1219","The Viscounts",1
"1220","The Vogues",14
"1221","The Vontastics",1
"1222","The Waikikis",2
"1223","The Wailers",1
"1224","The Walker Bros.",3
"1225","The Watts 103rd St. Rhythm Band",1
"1226","The Watts 103rd Street Rhythm Band",1
"1227","The Who",9
"1228","The Wildweeds",1
"1229","The Will-O-Bees",1
"1230","The Winstons",2
"1231","The Womenfolk",1
"1232","The Wonder Who?",4
"1233","The Woolies",1
"1234","The Yardbirds",9
"1235","The Yellow Balloon",1
"1236","The You Know Who Group!",1
"1237","The Young Holt Trio",1
"1238","The Young Rascals",9
"1239","The Youngbloods",2
"1240","The Zombies",5
"1241","Thee Midniters",1
"1242","Thee Prophets",1
"1243","Them",3
"1244","Thomas & Richard Frost",1
"1245","Three Dog Night",4
"1246","Thunderclap Newman",1
"1247","Tim Hardin",1
"1248","Tim Tam And The Turn-Ons",1
"1249","Timi Yuro",1
"1250","Timmy Shaw",1
"1251","Tiny Tim",3
"1252","Tom and Jerrio",1
"1253","Tom Jones",18
"1254","Tom Northcott",1
"1255","Tommy Boyce & Bobby Hart",4
"1256","Tommy Cash",1
"1257","Tommy James And The Shondells",17
"1258","Tommy Leonetti",1
"1259","Tommy McLain",1
"1260","Tommy Roe",13
"1261","Tommy Tucker",2
"1262","Tompall & The Glaser Brothers",1
"1263","Tony Bennett",10
"1264","Tony Clarke",2
"1265","Tony Joe White",2
"1266","Toussaint McCall",2
"1267","Tracey Dey",2
"1268","Traffic featuring Stevie Winwood",1
"1269","Travis Wammack",1
"1270","Trini Lopez",12
"1271","Troy Keyes",1
"1272","Tyrone Davis",2
"1273","Underground Sunshine",1
"1274","Unit Four plus Two",2
"1275","Van Morrison",1
"1276","Vanilla Fudge",3
"1277","Vanity Fare",1
"1278","Verdelle Smith",2
"1279","Vic Damone",1
"1280","Vic Dana",9
"1281","Vicki Anderson & James Brown",1
"1282","Victor Lundberg",1
"1283","Vik Venus Alias: Your Main Moon Man",1
"1284","Vikki Carr",6
"1285","Wallace Brothers",1
"1286","Walter Jackson",6
"1287","Walter Wanderley",1
"1288","Watts 103rd Street Rhythm Band",1
"1289","Waylon Jennings & The Kimberlys",1
"1290","Wayne Fontana & The Mindbenders",2
"1291","Wayne Newton",8
"1292","We Five",2
"1293","Wes Montgomery",2
"1294","Whistling Jack Smith",1
"1295","Wilbert Harrison",1
"1296","William Bell",3
"1297","Willie Mitchell",9
"1298","Willie Tee",1
"1299","Wilmer And The Dukes",1
"1300","Wilson Pickett",23
"1301","Wind",1
"1302","Young Hearts",1
"1303","Young-Holt Unlimited",2
"1304","Z.Z. Hill",1
"1305","Zager & Evans",1
