"","artist","on_board"
"191","Classics IV Featuring Dennis Yost",3
"192","Claudine Longet",4
"193","Clefs Of Lavender Hill",1
"194","Cliff Nobles & Co.",3
"195","Cliff Richard",3
"196","Cliff Richard And The Shadows",1
"197","Clifford Curry",1
"198","Clyde McPhatter",1
"199","Connie Francis",15
"200","Connie Stevens",1
"201","Count Five",1
"202","Country Joe & The Fish",1
"203","Crazy Elephant",1
"204","Cream",5
"205","Creedence Clearwater Revival",9
"206","Crispian St. Peters",3
"207","Crosby, Stills & Nash",2
"208","CROW",1
"209","Dale & Grace",3
"210","Dale Ward",1
"211","Dallas Frazier",1
"212","Damita Jo",1
"213","Dana Rollin",1
"214","Danny Hutton",1
"215","Danny Williams",2
"216","Darrell Banks",2
"217","Darrow Fletcher",1
"218","Dave Baby Cortez",1
"219","Dave Dee, Dozy, Beaky, Mick And Tich",1
"220","David & Jonathan",1
"221","David Houston",3
"222","David Houston & Tammy Wynette",1
"223","David Jones",1
"224","David Ruffin",3
"225","Davie Allan And The Arrows",2
"226","Davie Allen And The Arrows",1
"227","Dean And Jean",3
"228","Dean Martin",20
"229","Dean Parrish",1
"230","Debbie Taylor",1
"231","Dee Dee Sharp",3
"232","Dee Dee Warwick",5
"233","Dee Jay And The Runaways",1
"234","Deep Purple",3
"235","Del Reeves",1
"236","Del Shannon",6
"237","Della Humphrey",1
"238","Della Reese",2
"239","Dennis Yost And The Classics IV",2
"240","Deon Jackson",3
"241","Derek",2
"242","Derek Martin",1
"243","Desmond Dekker & The Aces",1
"244","Detroit Emeralds",1
"245","Diana Ross & The Supremes",10
"246","Diana Ross And The Supremes & The Temptations",1
"247","Diane Renay",2
"248","Dick and DeeDee",4
"249","Dick Hyman & His Electric Eclectics",1
"250","Dickey Lee",2
"251","Dickie Goodman",3
"252","Die Beatles",1
"253","Dino, Desi & Billy",6
"254","Dion",3
"255","Dion Di Muci",2
"256","Dionne Warwick",29
"257","Dobie Gray",2
"258","Don And The Goodtimes",2
"259","Don Covay",1
"260","Don Covay & The Goodtimers",2
"261","Don Fardon",1
"262","Don Ho and the Aliis",1
"263","Donna Lynn",1
"264","Donovan",13
"265","Donovan/Jeff Beck Group",1
"266","Dorothy Morrison",1
"267","Dorsey Burnette",1
"268","Dr. West's Medicine Show and Junk Band",1
"269","Drafi",1
"270","Duane Eddy",1
"271","Duke Baxter",1
"272","Dusty Springfield",17
"273","Dyke And The Blazers",4
"274","Earl Grant",1
"275","Earl-Jean",1
"276","Earth Opera",1
"277","Ed Ames",7
"278","Eddie Bo",1
"279","Eddie Fisher",2
"280","Eddie Floyd",9
"281","Eddie Harris",2
"282","Eddie Hodges",1
"283","Eddie Holland",3
"284","Eddie Holman",2
"285","Eddie Lovette",1
"286","Eddie Rambeau",1
"287","Eddy Arnold",14
"288","Edwin Starr",6
"289","Eivets Rednow",1
"290","Ella Washington",1
"291","Ellie Greenwich",1
"292","Elmo & Almo",1
"293","Elvis Presley",16
"294","Elvis Presley With The Jordanaires",25
"295","Elvis Presley With The Jordanaires and The Imperials Quartet",1
"296","Elvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio",1
"297","Elvis Presley With The Jubilee Four And Carole Lombard Quartet",1
"298","Engelbert Humperdinck",9
"299","Eric Burdon & The Animals",8
"300","Erma Franklin",1
"301","Esther & Abi Ofarim",1
"302","Esther Phillips",2
"303","Esther Phillips Little Esther",1
"304","Eternity's Children",1
"305","Etta James",6
"306","Etta James & Sugar Pie DeSanto",2
