,artist,rank,song,stay,week
7778,Patty Duke,79,Don't Just Stand There,11,1965-06-26
7779,Gloria Lynne,80,Watermelon Man,5,1965-06-26
7780,Little Anthony And The Imperials,81,Take Me Back,11,1965-06-26
7781,Mary Wells,82,He's A Lover,4,1965-06-26
7782,Brenda Holloway,83,Operator,5,1965-06-26
7783,The Chiffons,84,Nobody Knows What's Goin' On (In My Mind But Me),9,1965-06-26
7784,Trini Lopez,85,Are You Sincere,3,1965-06-26
7785,Johnny Tillotson,86,Then I'll Count Again,4,1965-06-26
7786,Lenny Welch,87,Darling Take Me Back,6,1965-06-26
7787,Al Martino,88,My Cherie,3,1965-06-26
7788,Joe Tex,89,One Monkey Don't Stop No Show,4,1965-06-26
7789,Steve Alaimo,90,Cast Your Fate To The Wind,2,1965-06-26
7790,Cal Tjader,91,Soul Sauce (Guacha Guaro),5,1965-06-26
7791,Billy J. Kramer With The Dakotas,92,Trains And Boats And Planes,7,1965-06-26
7792,Jimmy Dean,93,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),3,1965-06-26
7793,Jody Miller,94,Silver Threads And Golden Needles,6,1965-06-26
7794,Connie Francis,95,Forget Domani,7,1965-06-26
7795,Del Reeves,96,Girl On The Billboard,1,1965-06-26
7796,Sandie Shaw,97,Long Live Love,3,1965-06-26
7797,The Zombies,98,I Want You Back Again,3,1965-06-26
7798,"Dino, Desi & Billy",99,I'm A Fool,12,1965-06-26
7799,Frank Sinatra,100,Forget Domani,7,1965-06-26
7800,Four Tops,1,I Can't Help Myself (Sugar Pie Honey Bunch),14,1965-07-03
7801,The Rolling Stones,2,(I Can't Get No) Satisfaction,14,1965-07-03
7802,The Byrds,3,Mr. Tambourine Man,13,1965-07-03
7803,Sam The Sham and the Pharaohs,4,Wooly Bully,18,1965-07-03
7804,Herman's Hermits,5,Wonderful World,10,1965-07-03
7805,The Yardbirds,6,For Your Love,12,1965-07-03
7806,Johnny Rivers,7,Seventh Son,11,1965-07-03
7807,Elvis Presley With The Jordanaires,8,Crying In The Chapel,14,1965-07-03
7808,Barbara Mason,9,"Yes, I'm Ready",14,1965-07-03
7809,Jackie DeShannon,10,What The World Needs Now Is Love,13,1965-07-03
7810,Jay & The Americans,11,"Cara, Mia",13,1965-07-03
7811,Ian Whitcomb And Bluesville,12,You Turn Me On (Turn On Song),13,1965-07-03
7812,Horst Jankowski,13,A Walk In The Black Forest,13,1965-07-03
7813,Patti Page,14,"Hush, Hush, Sweet Charlotte",14,1965-07-03
7814,The Supremes,15,Back In My Arms Again,11,1965-07-03
7815,Dickey Lee,16,Laurie (Strange Things Happen),13,1965-07-03
7816,Chad & Jeremy,17,Before And After,9,1965-07-03
7817,The Beach Boys,18,"Help Me, Rhonda",14,1965-07-03
7818,Gene Pitney,19,Last Chance To Turn Around,10,1965-07-03
7819,Ronnie Dove,20,A Little Bit Of Heaven,10,1965-07-03
7820,Otis Redding,21,I've Been Loving You Too Long (To Stop Now),11,1965-07-03
7821,The Guess Who,22,Shakin' All Over,11,1965-07-03
7822,Donovan,23,Catch The Wind,10,1965-07-03
7823,Fred Hughes,24,"Oo Wee Baby, I Love You",10,1965-07-03
7824,The Seekers,25,A World Of Our Own,10,1965-07-03
7825,Tom Jones,26,What's New Pussycat?,12,1965-07-03
7826,Elvis Presley With The Jordanaires,27,(Such An) Easy Question,8,1965-07-03
7827,Them,28,Here Comes The Night,10,1965-07-03
7828,The Shangri-Las,29,Give Us Your Blessings,8,1965-07-03
7829,Jan & Dean,30,You Really Know How To Hurt A Guy,9,1965-07-03
7830,Bobby Goldsboro,31,Voodoo Woman,11,1965-07-03
7831,Solomon Burke,32,Tonight's The Night,10,1965-07-03
7832,Brenda Lee,33,Too Many Rivers,13,1965-07-03
7833,The Marvelettes,34,I'll Keep Holding On,7,1965-07-03
7834,Marianne Faithfull,35,This Little Bird,8,1965-07-03
7835,The Beau Brummels,36,Just A Little,12,1965-07-03
7836,The Marvelows,37,I Do,9,1965-07-03
7837,Roger Miller,38,Engine Engine #9,9,1965-07-03
7838,Jr. Walker & The All Stars,39,Do The Boomerang,7,1965-07-03
7839,The Bachelors,40,Marie,10,1965-07-03
7840,The Kinks,41,Set Me Free,8,1965-07-03
7841,Herman's Hermits,42,"I'm Henry VIII, I Am",10,1965-07-03
7842,The Dave Clark Five,43,I Like It Like That,11,1965-07-03
7843,The 4 Seasons Featuring the Sound of Frankie Valli,44,Girl Come Running,7,1965-07-03
7844,Gene Chandler,45,Nothing Can Stop Me,12,1965-07-03
7845,Tom Jones,46,Little Lonely One,9,1965-07-03
7846,The Beatles,47,Ticket To Ride,11,1965-07-03
7847,Gerry And The Pacemakers,48,You'll Never Walk Alone,6,1965-07-03
7848,Billy Stewart,49,Sitting In The Park,8,1965-07-03
7849,Little Milton,50,Who's Cheating Who?,7,1965-07-03
7850,The Impressions,51,Meeting Over Yonder,8,1965-07-03
7851,Lesley Gore,52,"Sunshine, Lollipops And Rainbows",11,1965-07-03
7852,Jack Jones,53,Seein' The Right Love Go Wrong,9,1965-07-03
7853,The Strangeloves,54,I Want Candy,10,1965-07-03
7854,Wayne Fontana & The Mindbenders,55,It's Just A Little Bit Too Late,8,1965-07-03
7855,The Lettermen,56,Theme From A Summer Place,9,1965-07-03
7856,Patty Duke,57,Don't Just Stand There,11,1965-07-03
7857,Esther Phillips,58,And I Love Him,9,1965-07-03
7858,Sam Cooke,59,When A Boy Falls In Love,5,1965-07-03
7859,Barbara Lewis,60,"Baby, I'm Yours",14,1965-07-03
7860,Little Anthony And The Imperials,61,Take Me Back,11,1965-07-03
7861,Mel Carter,62,"Hold Me, Thrill Me, Kiss Me",15,1965-07-03
7862,Dean Martin,63,(Remember Me) I'm The One Who Loves You,7,1965-07-03
7863,Robert Goulet,64,Summer Sounds,7,1965-07-03
7864,Elvis Presley With The Jordanaires,65,It Feels So Right,6,1965-07-03
7865,Booker T. & The MG's,66,Boot-Leg,10,1965-07-03
7866,Eddy Arnold,67,What's He Doing In My World,9,1965-07-03
7867,Gloria Lynne,68,Watermelon Man,5,1965-07-03
7868,Joe Tex,69,One Monkey Don't Stop No Show,4,1965-07-03
7869,The Knight Bros.,70,Temptation 'Bout To Get Me,5,1965-07-03
7870,The Chiffons,71,Nobody Knows What's Goin' On (In My Mind But Me),9,1965-07-03
7871,Jody Miller,72,Silver Threads And Golden Needles,6,1965-07-03
7872,Billy J. Kramer With The Dakotas,73,Trains And Boats And Planes,7,1965-07-03
7873,Mary Wells,74,He's A Lover,4,1965-07-03
7874,Bobbi Martin,75,I Love You So,7,1965-07-03
7875,Lee Dorsey,76,Ride Your Pony,9,1965-07-03
7876,Lenny Welch,77,Darling Take Me Back,6,1965-07-03
7877,Brenda Holloway,78,Operator,5,1965-07-03
7878,"Dino, Desi & Billy",79,I'm A Fool,12,1965-07-03
7879,Gary Lewis And The Playboys,80,Save Your Heart For Me,11,1965-07-03
7880,Jackie Wilson,81,No Pity (In The Naked City),10,1965-07-03
7881,Billy Butler & The Chanters,82,I Can't Work No Longer,6,1965-07-03
7882,The Byrds,83,All I Really Want To Do,10,1965-07-03
7883,Barbra Streisand,84,My Man,6,1965-07-03
7884,Dionne Warwick,85,Here I Am,8,1965-07-03
7885,Cher,86,All I Really Want To Do,12,1965-07-03
7886,Eddie Hodges,87,New Orleans,9,1965-07-03
7887,Cal Tjader,88,Soul Sauce (Guacha Guaro),5,1965-07-03
7888,Steve Alaimo,89,Cast Your Fate To The Wind,2,1965-07-03
7889,The Righteous Brothers,90,Justine,3,1965-07-03
7890,Jimmy Dean,91,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),3,1965-07-03
7891,Maxine Brown,92,One Step At A Time,8,1965-07-03
7892,Connie Francis,93,Forget Domani,7,1965-07-03
7893,Carla Thomas,94,Stop! Look What You're Doing,3,1965-07-03
7894,Billy Joe Royal,95,Down In The Boondocks,13,1965-07-03
7895,The Zombies,96,I Want You Back Again,3,1965-07-03
7896,B.B. King,97,Blue Shadows,1,1965-07-03
7897,The Drifters,98,Follow Me,3,1965-07-03
7898,Frank Sinatra,99,Forget Domani,7,1965-07-03
7899,Brook Benton,100,Love Me Now,1,1965-07-03
7900,The Rolling Stones,1,(I Can't Get No) Satisfaction,14,1965-07-10
7901,Four Tops,2,I Can't Help Myself (Sugar Pie Honey Bunch),14,1965-07-10
7902,The Byrds,3,Mr. Tambourine Man,13,1965-07-10
7903,Herman's Hermits,4,Wonderful World,10,1965-07-10
7904,Sam The Sham and the Pharaohs,5,Wooly Bully,18,1965-07-10
7905,Barbara Mason,6,"Yes, I'm Ready",14,1965-07-10
7906,Johnny Rivers,7,Seventh Son,11,1965-07-10
7907,Jay & The Americans,8,"Cara, Mia",13,1965-07-10
7908,Ian Whitcomb And Bluesville,9,You Turn Me On (Turn On Song),13,1965-07-10
7909,Jackie DeShannon,10,What The World Needs Now Is Love,13,1965-07-10
7910,The Yardbirds,11,For Your Love,12,1965-07-10
7911,Horst Jankowski,12,A Walk In The Black Forest,13,1965-07-10
7912,Herman's Hermits,13,"I'm Henry VIII, I Am",10,1965-07-10
7913,Dickey Lee,14,Laurie (Strange Things Happen),13,1965-07-10
7914,Elvis Presley With The Jordanaires,15,Crying In The Chapel,14,1965-07-10
7915,Patti Page,16,"Hush, Hush, Sweet Charlotte",14,1965-07-10
7916,Tom Jones,17,What's New Pussycat?,12,1965-07-10
7917,Ronnie Dove,18,A Little Bit Of Heaven,10,1965-07-10
7918,The Seekers,19,A World Of Our Own,10,1965-07-10
7919,Elvis Presley With The Jordanaires,20,(Such An) Easy Question,8,1965-07-10
7920,Otis Redding,21,I've Been Loving You Too Long (To Stop Now),11,1965-07-10
7921,The Guess Who,22,Shakin' All Over,11,1965-07-10
7922,Fred Hughes,23,"Oo Wee Baby, I Love You",10,1965-07-10
7923,Brenda Lee,24,Too Many Rivers,13,1965-07-10
7924,The Beach Boys,25,"Help Me, Rhonda",14,1965-07-10
7925,Them,26,Here Comes The Night,10,1965-07-10
7926,Jan & Dean,27,You Really Know How To Hurt A Guy,9,1965-07-10
7927,The Bachelors,28,Marie,10,1965-07-10
7928,Solomon Burke,29,Tonight's The Night,10,1965-07-10
7929,The Kinks,30,Set Me Free,8,1965-07-10
7930,The Dave Clark Five,31,I Like It Like That,11,1965-07-10
7931,Donovan,32,Catch The Wind,10,1965-07-10
7932,The Strangeloves,33,I Want Candy,10,1965-07-10
7933,The 4 Seasons Featuring the Sound of Frankie Valli,34,Girl Come Running,7,1965-07-10
7934,Marianne Faithfull,35,This Little Bird,8,1965-07-10
7935,Jr. Walker & The All Stars,36,Do The Boomerang,7,1965-07-10
7936,The Supremes,37,Back In My Arms Again,11,1965-07-10
7937,Billy Stewart,38,Sitting In The Park,8,1965-07-10
7938,The Shangri-Las,39,Give Us Your Blessings,8,1965-07-10
7939,Bobby Goldsboro,40,Voodoo Woman,11,1965-07-10
7940,Lesley Gore,41,"Sunshine, Lollipops And Rainbows",11,1965-07-10
7941,Chad & Jeremy,42,Before And After,9,1965-07-10
7942,Tom Jones,43,Little Lonely One,9,1965-07-10
7943,Gene Pitney,44,Last Chance To Turn Around,10,1965-07-10
7944,Patty Duke,45,Don't Just Stand There,11,1965-07-10
7945,The Lettermen,46,Theme From A Summer Place,9,1965-07-10
7946,Little Anthony And The Imperials,47,Take Me Back,11,1965-07-10
7947,Little Milton,48,Who's Cheating Who?,7,1965-07-10
7948,Wayne Fontana & The Mindbenders,49,It's Just A Little Bit Too Late,8,1965-07-10
7949,Jack Jones,50,Seein' The Right Love Go Wrong,9,1965-07-10
7950,The Impressions,51,Meeting Over Yonder,8,1965-07-10
7951,Mel Carter,52,"Hold Me, Thrill Me, Kiss Me",15,1965-07-10
7952,Barbara Lewis,53,"Baby, I'm Yours",14,1965-07-10
7953,The Marvelows,54,I Do,9,1965-07-10
7954,The Marvelettes,55,I'll Keep Holding On,7,1965-07-10
7955,Gary Lewis And The Playboys,56,Save Your Heart For Me,11,1965-07-10
7956,Gerry And The Pacemakers,57,You'll Never Walk Alone,6,1965-07-10
7957,Robert Goulet,58,Summer Sounds,7,1965-07-10
7958,Elvis Presley With The Jordanaires,59,It Feels So Right,6,1965-07-10
7959,"Dino, Desi & Billy",60,I'm A Fool,12,1965-07-10
7960,Lee Dorsey,61,Ride Your Pony,9,1965-07-10
7961,Billy J. Kramer With The Dakotas,62,Trains And Boats And Planes,7,1965-07-10
7962,The Chiffons,63,Nobody Knows What's Goin' On (In My Mind But Me),9,1965-07-10
7963,Booker T. & The MG's,64,Boot-Leg,10,1965-07-10
7964,Joe Tex,65,One Monkey Don't Stop No Show,4,1965-07-10
7965,Marvin Gaye,66,Pretty Little Baby,7,1965-07-10
7966,Gloria Lynne,67,Watermelon Man,5,1965-07-10
7967,Jody Miller,68,Silver Threads And Golden Needles,6,1965-07-10
7968,Peter And Gordon,69,To Know You Is To Love You,7,1965-07-10
7969,The Knight Bros.,70,Temptation 'Bout To Get Me,5,1965-07-10
7970,Eddy Arnold,71,What's He Doing In My World,9,1965-07-10
7971,Billy Butler & The Chanters,72,I Can't Work No Longer,6,1965-07-10
7972,The Byrds,73,All I Really Want To Do,10,1965-07-10
7973,Mary Wells,74,He's A Lover,4,1965-07-10
7974,Bobbi Martin,75,I Love You So,7,1965-07-10
7975,Lenny Welch,76,Darling Take Me Back,6,1965-07-10
7976,Billy Joe Royal,77,Down In The Boondocks,13,1965-07-10
7977,Jackie Wilson,78,No Pity (In The Naked City),10,1965-07-10
7978,Barbra Streisand,79,My Man,6,1965-07-10
7979,Dionne Warwick,80,Here I Am,8,1965-07-10
7980,Cher,81,All I Really Want To Do,12,1965-07-10
7981,Petula Clark,82,You'd Better Come Home,9,1965-07-10
7982,Wilson Pickett,83,In The Midnight Hour,12,1965-07-10
7983,Eddie Hodges,84,New Orleans,9,1965-07-10
7984,The Astors,85,Candy,9,1965-07-10
7985,Roy Orbison,86,(Say) You're My Girl,7,1965-07-10
7986,The Righteous Brothers,87,Justine,3,1965-07-10
7987,Sonny & Cher,88,I Got You Babe,14,1965-07-10
7988,Maxine Brown,89,One Step At A Time,8,1965-07-10
7989,Bobby Vinton,90,Theme From Harlow (Lonely Girl),5,1965-07-10
7990,Jimmy Dean,91,The First Thing Ev'ry Morning (And The Last Thing Ev'ry Night),3,1965-07-10
7991,Connie Francis,92,Forget Domani,7,1965-07-10
7992,Frank Sinatra,93,Forget Domani,7,1965-07-10
7993,Carla Thomas,94,Stop! Look What You're Doing,3,1965-07-10
7994,The Zombies,95,I Want You Back Again,3,1965-07-10
7995,The Drifters,96,Follow Me,3,1965-07-10
7996,Bert Kaempfert And His Orchestra,97,Moon Over Naples,10,1965-07-10
7997,Elvis Presley With The Jordanaires,98,Tickle Me,7,1965-07-10
7998,Roger Miller,99,One Dyin' And A Buryin',7,1965-07-10
7999,Chad & Jeremy,100,From A Window,2,1965-07-10
8000,The Rolling Stones,1,(I Can't Get No) Satisfaction,14,1965-07-17
8001,Four Tops,2,I Can't Help Myself (Sugar Pie Honey Bunch),14,1965-07-17
8002,Herman's Hermits,3,"I'm Henry VIII, I Am",10,1965-07-17
8003,The Byrds,4,Mr. Tambourine Man,13,1965-07-17
8004,Jay & The Americans,5,"Cara, Mia",13,1965-07-17
8005,Barbara Mason,6,"Yes, I'm Ready",14,1965-07-17
8006,Johnny Rivers,7,Seventh Son,11,1965-07-17
8007,Ian Whitcomb And Bluesville,8,You Turn Me On (Turn On Song),13,1965-07-17
8008,Jackie DeShannon,9,What The World Needs Now Is Love,13,1965-07-17
8009,Tom Jones,10,What's New Pussycat?,12,1965-07-17
8010,Sam The Sham and the Pharaohs,11,Wooly Bully,18,1965-07-17
8011,Herman's Hermits,12,Wonderful World,10,1965-07-17
8012,The Yardbirds,13,For Your Love,12,1965-07-17
8013,Horst Jankowski,14,A Walk In The Black Forest,13,1965-07-17
8014,Elvis Presley With The Jordanaires,15,(Such An) Easy Question,8,1965-07-17
8015,Ronnie Dove,16,A Little Bit Of Heaven,10,1965-07-17
8016,Dickey Lee,17,Laurie (Strange Things Happen),13,1965-07-17
8017,Brenda Lee,18,Too Many Rivers,13,1965-07-17
8018,The Seekers,19,A World Of Our Own,10,1965-07-17
8019,Elvis Presley With The Jordanaires,20,Crying In The Chapel,14,1965-07-17
8020,Patti Page,21,"Hush, Hush, Sweet Charlotte",14,1965-07-17
8021,The Bachelors,22,Marie,10,1965-07-17
8022,Otis Redding,23,I've Been Loving You Too Long (To Stop Now),11,1965-07-17
8023,Them,24,Here Comes The Night,10,1965-07-17
8024,The Kinks,25,Set Me Free,8,1965-07-17
8025,The Dave Clark Five,26,I Like It Like That,11,1965-07-17
8026,The Strangeloves,27,I Want Candy,10,1965-07-17
8027,Solomon Burke,28,Tonight's The Night,10,1965-07-17
8028,Billy Stewart,29,Sitting In The Park,8,1965-07-17
8029,The 4 Seasons Featuring the Sound of Frankie Valli,30,Girl Come Running,7,1965-07-17
8030,Lesley Gore,31,"Sunshine, Lollipops And Rainbows",11,1965-07-17
8031,Marianne Faithfull,32,This Little Bird,8,1965-07-17
8032,Fred Hughes,33,"Oo Wee Baby, I Love You",10,1965-07-17
8033,Patty Duke,34,Don't Just Stand There,11,1965-07-17
8034,The Lettermen,35,Theme From A Summer Place,9,1965-07-17
8035,Jan & Dean,36,You Really Know How To Hurt A Guy,9,1965-07-17
8036,Little Anthony And The Imperials,37,Take Me Back,11,1965-07-17
8037,The Guess Who,38,Shakin' All Over,11,1965-07-17
8038,Barbara Lewis,39,"Baby, I'm Yours",14,1965-07-17
8039,Gary Lewis And The Playboys,40,Save Your Heart For Me,11,1965-07-17
8040,Mel Carter,41,"Hold Me, Thrill Me, Kiss Me",15,1965-07-17
8041,Tom Jones,42,Little Lonely One,9,1965-07-17
8042,Little Milton,43,Who's Cheating Who?,7,1965-07-17
8043,The Beach Boys,44,"Help Me, Rhonda",14,1965-07-17
8044,Donovan,45,Catch The Wind,10,1965-07-17
8045,Wayne Fontana & The Mindbenders,46,It's Just A Little Bit Too Late,8,1965-07-17
8046,Jack Jones,47,Seein' The Right Love Go Wrong,9,1965-07-17
8047,The Impressions,48,Meeting Over Yonder,8,1965-07-17
8048,Marvin Gaye,49,Pretty Little Baby,7,1965-07-17
8049,"Dino, Desi & Billy",50,I'm A Fool,12,1965-07-17
8050,Peter And Gordon,51,To Know You Is To Love You,7,1965-07-17
8051,The Shangri-Las,52,Give Us Your Blessings,8,1965-07-17
8052,Jr. Walker & The All Stars,53,Do The Boomerang,7,1965-07-17
8053,Lee Dorsey,54,Ride Your Pony,9,1965-07-17
8054,Elvis Presley With The Jordanaires,55,It Feels So Right,6,1965-07-17
8055,Jody Miller,56,Silver Threads And Golden Needles,6,1965-07-17
8056,Billy J. Kramer With The Dakotas,57,Trains And Boats And Planes,7,1965-07-17
8057,Booker T. & The MG's,58,Boot-Leg,10,1965-07-17
8058,The Chiffons,59,Nobody Knows What's Goin' On (In My Mind But Me),9,1965-07-17
8059,Billy Joe Royal,60,Down In The Boondocks,13,1965-07-17
8060,Robert Goulet,61,Summer Sounds,7,1965-07-17
8061,Gloria Lynne,62,Watermelon Man,5,1965-07-17
8062,Roy Orbison,63,(Say) You're My Girl,7,1965-07-17
8063,Billy Butler & The Chanters,64,I Can't Work No Longer,6,1965-07-17
8064,Joe Tex,65,One Monkey Don't Stop No Show,4,1965-07-17
8065,Petula Clark,66,You'd Better Come Home,9,1965-07-17
8066,The Byrds,67,All I Really Want To Do,10,1965-07-17
8067,Maxine Brown,68,One Step At A Time,8,1965-07-17
8068,Jackie Wilson,69,No Pity (In The Naked City),10,1965-07-17
8069,Roger Miller,70,One Dyin' And A Buryin',7,1965-07-17
8070,Cher,71,All I Really Want To Do,12,1965-07-17
8071,The Righteous Brothers,72,Unchained Melody,13,1965-07-17
8072,Sonny & Cher,73,I Got You Babe,14,1965-07-17
8073,Lenny Welch,74,Darling Take Me Back,6,1965-07-17
8074,Eddie Hodges,75,New Orleans,9,1965-07-17
8075,The Astors,76,Candy,9,1965-07-17
8076,Dionne Warwick,77,Here I Am,8,1965-07-17
8077,The Spinners,78,I'll Always Love You,7,1965-07-17
8078,Wilson Pickett,79,In The Midnight Hour,12,1965-07-17
8079,James Brown And The Famous Flames,80,Papa's Got A Brand New Bag (Part I),13,1965-07-17
8080,The Miracles,81,The Tracks Of My Tears,12,1965-07-17
8081,Bobby Vinton,82,Theme From Harlow (Lonely Girl),5,1965-07-17
8082,The Royalettes,83,It's Gonna Take A Miracle,11,1965-07-17
8083,Connie Francis,84,Forget Domani,7,1965-07-17
8084,The Righteous Brothers,85,Justine,3,1965-07-17
8085,Arthur Prysock,86,"It's Too Late, Baby Too Late",8,1965-07-17
8086,Frank Sinatra,87,Forget Domani,7,1965-07-17
8087,Elvis Presley With The Jordanaires,88,Tickle Me,7,1965-07-17
8088,Barbra Streisand,89,My Man,6,1965-07-17
8089,The Righteous Brothers,90,Hung On You,7,1965-07-17
8090,The Drifters,91,Follow Me,3,1965-07-17
8091,Carla Thomas,92,Stop! Look What You're Doing,3,1965-07-17
8092,The Skyliners,93,The Loser,5,1965-07-17
8093,Glenn Yarbrough,94,It's Gonna Be Fine,6,1965-07-17
8094,Bert Kaempfert And His Orchestra,95,Moon Over Naples,10,1965-07-17
8095,Unit Four plus Two,96,You've Never Been In Love Like This Before,2,1965-07-17
8096,Chad & Jeremy,97,From A Window,2,1965-07-17
8097,Chet Atkins,98,Yakety Axe,2,1965-07-17
8098,Willie Mitchell,99,Buster Browne,2,1965-07-17
8099,Ray Charles,100,I'm A Fool To Care,4,1965-07-17
8100,The Rolling Stones,1,(I Can't Get No) Satisfaction,14,1965-07-24
8101,Herman's Hermits,2,"I'm Henry VIII, I Am",10,1965-07-24
8102,Four Tops,3,I Can't Help Myself (Sugar Pie Honey Bunch),14,1965-07-24
8103,Tom Jones,4,What's New Pussycat?,12,1965-07-24
8104,Jay & The Americans,5,"Cara, Mia",13,1965-07-24
8105,Barbara Mason,6,"Yes, I'm Ready",14,1965-07-24
8106,Jackie DeShannon,7,What The World Needs Now Is Love,13,1965-07-24
8107,Johnny Rivers,8,Seventh Son,11,1965-07-24
8108,The Byrds,9,Mr. Tambourine Man,13,1965-07-24
8109,Ian Whitcomb And Bluesville,10,You Turn Me On (Turn On Song),13,1965-07-24
8110,Elvis Presley With The Jordanaires,11,(Such An) Easy Question,8,1965-07-24
8111,The Dave Clark Five,12,I Like It Like That,11,1965-07-24
8112,Gary Lewis And The Playboys,13,Save Your Heart For Me,11,1965-07-24
8113,Brenda Lee,14,Too Many Rivers,13,1965-07-24
8114,The Bachelors,15,Marie,10,1965-07-24
8115,Ronnie Dove,16,A Little Bit Of Heaven,10,1965-07-24
8116,Sam The Sham and the Pharaohs,17,Wooly Bully,18,1965-07-24
8117,The Strangeloves,18,I Want Candy,10,1965-07-24
8118,Lesley Gore,19,"Sunshine, Lollipops And Rainbows",11,1965-07-24
8119,The Yardbirds,20,For Your Love,12,1965-07-24
8120,Dickey Lee,21,Laurie (Strange Things Happen),13,1965-07-24
8121,Patty Duke,22,Don't Just Stand There,11,1965-07-24
8122,The Kinks,23,Set Me Free,8,1965-07-24
8123,Them,24,Here Comes The Night,10,1965-07-24
8124,Herman's Hermits,25,Wonderful World,10,1965-07-24
8125,The Lettermen,26,Theme From A Summer Place,9,1965-07-24
8126,Billy Stewart,27,Sitting In The Park,8,1965-07-24
8127,The Seekers,28,A World Of Our Own,10,1965-07-24
8128,Horst Jankowski,29,A Walk In The Black Forest,13,1965-07-24
8129,Fred Hughes,30,"Oo Wee Baby, I Love You",10,1965-07-24
8130,Mel Carter,31,"Hold Me, Thrill Me, Kiss Me",15,1965-07-24
8131,Solomon Burke,32,Tonight's The Night,10,1965-07-24
8132,Barbara Lewis,33,"Baby, I'm Yours",14,1965-07-24
8133,Little Anthony And The Imperials,34,Take Me Back,11,1965-07-24
8134,Peter And Gordon,35,To Know You Is To Love You,7,1965-07-24
8135,Otis Redding,36,I've Been Loving You Too Long (To Stop Now),11,1965-07-24
8136,Marvin Gaye,37,Pretty Little Baby,7,1965-07-24
8137,"Dino, Desi & Billy",38,I'm A Fool,12,1965-07-24
8138,Marianne Faithfull,39,This Little Bird,8,1965-07-24
8139,The 4 Seasons Featuring the Sound of Frankie Valli,40,Girl Come Running,7,1965-07-24
8140,Elvis Presley With The Jordanaires,41,Crying In The Chapel,14,1965-07-24
8141,Lee Dorsey,42,Ride Your Pony,9,1965-07-24
8142,Billy Joe Royal,43,Down In The Boondocks,13,1965-07-24
8143,Petula Clark,44,You'd Better Come Home,9,1965-07-24
8144,Wayne Fontana & The Mindbenders,45,It's Just A Little Bit Too Late,8,1965-07-24
8145,Patti Page,46,"Hush, Hush, Sweet Charlotte",14,1965-07-24
8146,Jack Jones,47,Seein' The Right Love Go Wrong,9,1965-07-24
8147,Billy J. Kramer With The Dakotas,48,Trains And Boats And Planes,7,1965-07-24
8148,Little Milton,49,Who's Cheating Who?,7,1965-07-24
8149,Roy Orbison,50,(Say) You're My Girl,7,1965-07-24
8150,Tom Jones,51,Little Lonely One,9,1965-07-24
8151,The Chiffons,52,Nobody Knows What's Goin' On (In My Mind But Me),9,1965-07-24
8152,Cher,53,All I Really Want To Do,12,1965-07-24
8153,Jody Miller,54,Silver Threads And Golden Needles,6,1965-07-24
8154,The Byrds,55,All I Really Want To Do,10,1965-07-24
8155,The Righteous Brothers,56,Unchained Melody,13,1965-07-24
8156,Sonny & Cher,57,I Got You Babe,14,1965-07-24
8157,Booker T. & The MG's,58,Boot-Leg,10,1965-07-24
8158,Roger Miller,59,One Dyin' And A Buryin',7,1965-07-24
8159,The Spinners,60,I'll Always Love You,7,1965-07-24
8160,The Miracles,61,The Tracks Of My Tears,12,1965-07-24
8161,The Impressions,62,Meeting Over Yonder,8,1965-07-24
8162,Billy Butler & The Chanters,63,I Can't Work No Longer,6,1965-07-24
8163,Maxine Brown,64,One Step At A Time,8,1965-07-24
8164,James Brown And The Famous Flames,65,Papa's Got A Brand New Bag (Part I),13,1965-07-24
8165,Bobby Vinton,66,Theme From Harlow (Lonely Girl),5,1965-07-24
8166,Jackie Wilson,67,No Pity (In The Naked City),10,1965-07-24
8167,The Temptations,68,Since I Lost My Baby,10,1965-07-24
8168,Elvis Presley With The Jordanaires,69,It Feels So Right,6,1965-07-24
8169,Eddie Hodges,70,New Orleans,9,1965-07-24
8170,The Righteous Brothers,71,Hung On You,7,1965-07-24
8171,The Beach Boys,72,California Girls,11,1965-07-24
8172,The Astors,73,Candy,9,1965-07-24
8173,Lenny Welch,74,Darling Take Me Back,6,1965-07-24
8174,Dionne Warwick,75,Here I Am,8,1965-07-24
8175,The Royalettes,76,It's Gonna Take A Miracle,11,1965-07-24
8176,Wilson Pickett,77,In The Midnight Hour,12,1965-07-24
8177,We Five,78,You Were On My Mind,15,1965-07-24
8178,Glenn Yarbrough,79,It's Gonna Be Fine,6,1965-07-24
8179,Arthur Prysock,80,"It's Too Late, Baby Too Late",8,1965-07-24
8180,Frank Sinatra,81,Forget Domani,7,1965-07-24
8181,Gloria Lynne,82,Watermelon Man,5,1965-07-24
8182,Connie Francis,83,Forget Domani,7,1965-07-24
8183,Elvis Presley With The Jordanaires,84,Tickle Me,7,1965-07-24
8184,The Beau Brummels,85,You Tell Me Why,7,1965-07-24
8185,Gene Pitney,86,Looking Through The Eyes Of Love,8,1965-07-24
8186,Bert Kaempfert And His Orchestra,87,Moon Over Naples,10,1965-07-24
8187,The Skyliners,88,The Loser,5,1965-07-24
8188,Barbra Streisand,89,My Man,6,1965-07-24
8189,The Vacels,90,You're My Baby (And Don't You Forget It),5,1965-07-24
8190,Bob Dylan,91,Like A Rolling Stone,12,1965-07-24
